name,param,mr_score,E_FCI,E_ideal,ideal_error
H2_R0.70,0.7,0.8966291482484162,-1.136189454065923,-1.0777229212121144,0.05846653285380854
H2_R0.91,0.91,0.8419134965062792,-1.11897446374882,-1.0668432977379012,0.05213116601091872
H2_R1.12,1.12,0.820060260593652,-1.0750997514652243,-1.0551323219814221,0.019967429483802146
H2_R1.33,1.33,0.859393546477421,-1.0295964455378634,-1.0224164003839467,0.007180045153916792
H2_R1.54,1.54,0.9747961137314852,-0.992502528732896,-0.9581437659424377,0.03435876279045835
H2_R1.75,1.75,1.1493942620120905,-0.9667731407921704,-0.9436914437744727,0.02308169701769769
H2_R1.95,1.95,1.3418196894430865,-0.9510330869516332,-0.9321483849281311,0.01888470202350212
H2_R2.16,2.16,1.5152000037930042,-0.9422585895180038,-0.9295260151275508,0.012732574390452944
H2_R2.37,2.37,1.653693888387621,-0.9376571397079378,-0.9287323521668827,0.00892478754105519
H2_R2.58,2.58,1.7575254064055137,-0.935331421667398,-0.9258898260927656,0.009441595574632422
H2_R2.79,2.79,1.8329547787468703,-0.9341845556628534,-0.9323517683141664,0.0018327873486869706
H2_R3.00,3.0,1.886711043595916,-0.9336318445584986,-0.9316333304731318,0.001998514085366776
