name,param,mr_score,E_FCI,E_noisy_raw,E_noisy_mit,E_noisy_best,raw_error,mit_error,best_error,improvement_vs_raw,improvement_vs_mit
H2_R0.70,0.7,0.8966291482484162,-1.136189454065923,-1.0206583290915083,-1.0456817426802634,-1.049618455992376,0.1155311249744146,0.0905077113856596,0.08657099807354696,0.028960126900867647,0.00393671331211265
H2_R0.91,0.91,0.8419134965062792,-1.11897446374882,-1.0267950406880515,-1.0460618371312698,-1.0466425234898535,0.0921794230607684,0.0729126266175501,0.07233194025896639,0.019847482801802013,0.0005806863585837152
H2_R1.12,1.12,0.820060260593652,-1.0750997514652243,-1.0165333820685305,-1.0359248663300955,-1.0368120677356436,0.058566369396694,0.0391748851351287,0.03828768372958069,0.020278685667113307,0.000887201405548009
H2_R1.33,1.33,0.859393546477421,-1.0295964455378634,-0.9877083518497228,-1.0080671058877957,-1.0086730430683952,0.0418880936881405,0.0215293396500677,0.020923402469468222,0.020964691218672275,0.0006059371805994772
H2_R1.54,1.54,0.9747961137314852,-0.992502528732896,-0.9251073607458252,-0.9438774043820408,-0.9447474732036053,0.0673951679870706,0.0486251243508553,0.04775505552929071,0.019640112457779885,0.0008700688215645888
H2_R1.75,1.75,1.1493942620120905,-0.9667731407921704,-0.9172389809759904,-0.939329952291828,-0.9402407499261699,0.0495341598161798,0.0274431885003423,0.026532390866000455,0.023001768950179344,0.0009107976343418443
H2_R1.95,1.95,1.3418196894430865,-0.9510330869516332,-0.9051425599673164,-0.9244158237703074,-0.9254722973441816,0.0458905269843169,0.0266172631813258,0.025560789607451673,0.020329737376865227,0.0010564735738741275
H2_R2.16,2.16,1.5152000037930042,-0.9422585895180038,-0.900276175648525,-0.923358930367364,-0.9237834293857411,0.0419824138694787,0.0188996591506397,0.01847516013226269,0.02350725373721601,0.00042449901837701004
H2_R2.37,2.37,1.653693888387621,-0.9376571397079378,-0.9057319326367628,-0.924654596128158,-0.9258241463359992,0.0319252070711751,0.0130025435797798,0.01183299337193866,0.020092213699236437,0.0011695502078411402
H2_R2.58,2.58,1.7575254064055137,-0.935331421667398,-0.8936143278045435,-0.9174719681226712,-0.9182375165706791,0.0417170938628544,0.0178594535447269,0.01709390509671893,0.024623188766135472,0.0007655484480079688
H2_R2.79,2.79,1.8329547787468703,-0.9341845556628534,-0.907627652212268,-0.923048423695376,-0.9242850183395287,0.0265569034505854,0.0111361319674774,0.009899537323324714,0.016657366127260684,0.0012365946441526866
H2_R3.00,3.0,1.886711043595916,-0.9336318445584986,-0.908866614368044,-0.9241582332905643,-0.9241582332905645,0.0247652301904545,0.0094736112679341,0.009473611267934112,0.015291618922520386,-1.214306433183765e-17
